dataset,category,category_label,case_name,baseline_iou_csv,frangi_iou_csv,delta_iou,target_pixels_at_selection,panel,generated,baseline_prediction,frangi_prediction,prompt_source,target_pixels,baseline_prediction_pixels,frangi_prediction_pixels
khanhha_original,gain_frangi,Gain Frangi maximal,Sylvie_Chambon_319.jpg,0.27558202490525174,0.5915660051768766,0.3159839802716249,9235,figures/cases/khanhha_original/gain_frangi__Sylvie_Chambon_319.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/Sylvie_Chambon_319.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/Sylvie_Chambon_319.png,/home/codespace/cracksam2-prompts/khanhha/test_original/Sylvie_Chambon_319.jpg.npy,9235,2545,5522
khanhha_original,gain_baseline,Gain baseline maximal,cracktree200_6266.jpg,0.19683257918552036,0.027164685908319185,-0.16966789327720116,547,figures/cases/khanhha_original/gain_baseline__cracktree200_6266.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/cracktree200_6266.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/cracktree200_6266.png,/home/codespace/cracksam2-prompts/khanhha/test_original/cracktree200_6266.jpg.npy,547,1040,58
khanhha_original,both_good,Les deux bons,DeepCrack_11231-3.jpg,0.9513968912447824,0.9435444657709533,-0.007852425473829139,38643,figures/cases/khanhha_original/both_good__DeepCrack_11231-3.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-prompts/khanhha/test_original/DeepCrack_11231-3.jpg.npy,38643,37561,37301
khanhha_original,both_weak,Les deux faibles,CRACK500_20160326_142354_641_1081.jpg,0.0,0.0,0.0,2057,figures/cases/khanhha_original/both_weak__CRACK500_20160326_142354_641_1081.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/CRACK500_20160326_142354_641_1081.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/CRACK500_20160326_142354_641_1081.png,/home/codespace/cracksam2-prompts/khanhha/test_original/CRACK500_20160326_142354_641_1081.jpg.npy,2057,11040,10881
khanhha_original,median,Cas médian,CRACK500_20160329_094010_1281_361.jpg,0.8317899276925028,0.831758629377677,-3.1298314825845e-05,13723,figures/cases/khanhha_original/median__CRACK500_20160329_094010_1281_361.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/CRACK500_20160329_094010_1281_361.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/CRACK500_20160329_094010_1281_361.png,/home/codespace/cracksam2-prompts/khanhha/test_original/CRACK500_20160329_094010_1281_361.jpg.npy,13723,15157,15358
khanhha_original,sparse_divergent,GT vide/clairsemée divergente,noncrack_noncrack_concrete_wall_43_50.jpg.jpg,1.0,0.0,-1.0,0,figures/cases/khanhha_original/sparse_divergent__noncrack_noncrack_concrete_wall_43_50.jpg.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_original/predictions/noncrack_noncrack_concrete_wall_43_50.jpg.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_original/predictions/noncrack_noncrack_concrete_wall_43_50.jpg.png,/home/codespace/cracksam2-prompts/khanhha/test_original/noncrack_noncrack_concrete_wall_43_50.jpg.jpg.npy,0,0,2
khanhha_noisy1,gain_frangi,Gain Frangi maximal,CRACK500_20160329_093924_1921_721.jpg,0.0002808199943836001,0.7540940992981544,0.7538132793037708,7122,figures/cases/khanhha_noisy1/gain_frangi__CRACK500_20160329_093924_1921_721.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/CRACK500_20160329_093924_1921_721.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/CRACK500_20160329_093924_1921_721.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160329_093924_1921_721.jpg.npy,7122,2,6374
khanhha_noisy1,gain_baseline,Gain baseline maximal,CRACK500_20160222_115828_641_1.jpg,0.5848158356301679,0.0,-0.5848158356301679,2779,figures/cases/khanhha_noisy1/gain_baseline__CRACK500_20160222_115828_641_1.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/CRACK500_20160222_115828_641_1.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/CRACK500_20160222_115828_641_1.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160222_115828_641_1.jpg.npy,2779,3546,0
khanhha_noisy1,both_good,Les deux bons,DeepCrack_11231-3.jpg,0.9551340645947592,0.9553571428571429,0.00022307826238365802,38643,figures/cases/khanhha_noisy1/both_good__DeepCrack_11231-3.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/DeepCrack_11231-3.jpg.npy,38643,38358,38445
khanhha_noisy1,both_weak,Les deux faibles,CRACK500_20160222_115847_641_361.jpg,0.0,0.0,0.0,1203,figures/cases/khanhha_noisy1/both_weak__CRACK500_20160222_115847_641_361.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/CRACK500_20160222_115847_641_361.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/CRACK500_20160222_115847_641_361.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160222_115847_641_361.jpg.npy,1203,0,0
khanhha_noisy1,median,Cas médian,CRACK500_20160316_143445_1281_361.jpg,0.7892996693718064,0.787764634973254,-0.001535034398552404,10826,figures/cases/khanhha_noisy1/median__CRACK500_20160316_143445_1281_361.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/CRACK500_20160316_143445_1281_361.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/CRACK500_20160316_143445_1281_361.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/CRACK500_20160316_143445_1281_361.jpg.npy,10826,12986,12903
khanhha_noisy1,sparse_divergent,GT vide/clairsemée divergente,noncrack_noncrack_concrete_wall_81_4.jpg.jpg,1.0,0.0,-1.0,0,figures/cases/khanhha_noisy1/sparse_divergent__noncrack_noncrack_concrete_wall_81_4.jpg.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy1/predictions/noncrack_noncrack_concrete_wall_81_4.jpg.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy1/predictions/noncrack_noncrack_concrete_wall_81_4.jpg.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy1/noncrack_noncrack_concrete_wall_81_4.jpg.jpg.npy,0,0,3
khanhha_noisy2,gain_frangi,Gain Frangi maximal,Volker_DSC01646_226_19_1273_1645.jpg,0.0,0.6845425867507886,0.6845425867507886,6166,figures/cases/khanhha_noisy2/gain_frangi__Volker_DSC01646_226_19_1273_1645.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/Volker_DSC01646_226_19_1273_1645.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/Volker_DSC01646_226_19_1273_1645.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/Volker_DSC01646_226_19_1273_1645.jpg.npy,6166,0,5048
khanhha_noisy2,gain_baseline,Gain baseline maximal,CRACK500_20160308_073532_1_361.jpg,0.8111651621966129,0.0,-0.8111651621966129,33888,figures/cases/khanhha_noisy2/gain_baseline__CRACK500_20160308_073532_1_361.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/CRACK500_20160308_073532_1_361.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/CRACK500_20160308_073532_1_361.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/CRACK500_20160308_073532_1_361.jpg.npy,33888,35735,0
khanhha_noisy2,both_good,Les deux bons,DeepCrack_11231-3.jpg,0.9354968756299133,0.9322815103705017,-0.0032153652594116844,38643,figures/cases/khanhha_noisy2/both_good__DeepCrack_11231-3.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/DeepCrack_11231-3.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/DeepCrack_11231-3.jpg.npy,38643,38173,37657
khanhha_noisy2,both_weak,Les deux faibles,CRACK500_20160222_115843_1281_361.jpg,0.0,0.0,0.0,2085,figures/cases/khanhha_noisy2/both_weak__CRACK500_20160222_115843_1281_361.jpg.jpg,True,/home/codespace/cracksam2-artifacts/baseline_r4/final_evaluation/khanhha_noisy2/predictions/CRACK500_20160222_115843_1281_361.png,/home/codespace/cracksam2-artifacts/frangi_r4/milestone_comparison/epoch25_best/khanhha_noisy2/predictions/CRACK500_20160222_115843_1281_361.png,/home/codespace/cracksam2-prompts/khanhha/test_noisy2/CRACK500_20160222_115843_1281_361.jpg.npy,2085,0,0
