dataset,case_name,condition,role,qualitative
khanhha,CRACK500_20160222_115828_641_1.jpg,original,anchor,True
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy1,anchor,True
khanhha,CRACK500_20160222_115828_641_1.jpg,noisy2,anchor,True
khanhha,CRACK500_20160222_115843_1281_361.jpg,original,anchor,True
khanhha,CRACK500_20160222_115843_1281_361.jpg,noisy1,anchor,True
khanhha,CRACK500_20160222_115843_1281_361.jpg,noisy2,anchor,True
khanhha,CRACK500_20160222_115847_641_361.jpg,original,anchor,True
khanhha,CRACK500_20160222_115847_641_361.jpg,noisy1,anchor,True
khanhha,CRACK500_20160222_115847_641_361.jpg,noisy2,anchor,True
khanhha,CRACK500_20160308_073532_1_361.jpg,original,anchor,True
khanhha,CRACK500_20160308_073532_1_361.jpg,noisy1,anchor,True
khanhha,CRACK500_20160308_073532_1_361.jpg,noisy2,anchor,True
khanhha,CRACK500_20160316_143445_1281_361.jpg,original,anchor,True
khanhha,CRACK500_20160316_143445_1281_361.jpg,noisy1,anchor,True
khanhha,CRACK500_20160316_143445_1281_361.jpg,noisy2,anchor,True
khanhha,CRACK500_20160326_142354_641_1081.jpg,original,anchor,True
khanhha,CRACK500_20160326_142354_641_1081.jpg,noisy1,anchor,True
khanhha,CRACK500_20160326_142354_641_1081.jpg,noisy2,anchor,True
khanhha,CRACK500_20160328_154318_641_1.jpg,original,anchor,True
khanhha,CRACK500_20160328_154318_641_1.jpg,noisy1,anchor,True
khanhha,CRACK500_20160328_154318_641_1.jpg,noisy2,anchor,True
khanhha,CRACK500_20160329_093924_1921_721.jpg,original,anchor,True
khanhha,CRACK500_20160329_093924_1921_721.jpg,noisy1,anchor,True
khanhha,CRACK500_20160329_093924_1921_721.jpg,noisy2,anchor,True
khanhha,CRACK500_20160329_094010_1281_361.jpg,original,anchor,True
khanhha,CRACK500_20160329_094010_1281_361.jpg,noisy1,anchor,True
khanhha,CRACK500_20160329_094010_1281_361.jpg,noisy2,anchor,True
khanhha,DeepCrack_11231-3.jpg,original,anchor,True
khanhha,DeepCrack_11231-3.jpg,noisy1,anchor,True
khanhha,DeepCrack_11231-3.jpg,noisy2,anchor,True
khanhha,Sylvie_Chambon_319.jpg,original,anchor,True
khanhha,Sylvie_Chambon_319.jpg,noisy1,anchor,True
khanhha,Sylvie_Chambon_319.jpg,noisy2,anchor,True
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,original,anchor,True
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy1,anchor,True
khanhha,Volker_DSC01646_226_19_1273_1645.jpg,noisy2,anchor,True
khanhha,cracktree200_6266.jpg,original,anchor,True
khanhha,cracktree200_6266.jpg,noisy1,anchor,True
khanhha,cracktree200_6266.jpg,noisy2,anchor,True
khanhha,noncrack_noncrack_concrete_wall_28_0.jpg.jpg,original,anchor,True
khanhha,noncrack_noncrack_concrete_wall_28_0.jpg.jpg,noisy1,anchor,True
khanhha,noncrack_noncrack_concrete_wall_28_0.jpg.jpg,noisy2,anchor,True
khanhha,noncrack_noncrack_concrete_wall_43_50.jpg.jpg,original,anchor,True
khanhha,noncrack_noncrack_concrete_wall_43_50.jpg.jpg,noisy1,anchor,True
khanhha,noncrack_noncrack_concrete_wall_43_50.jpg.jpg,noisy2,anchor,True
khanhha,noncrack_noncrack_concrete_wall_81_4.jpg.jpg,original,anchor,True
khanhha,noncrack_noncrack_concrete_wall_81_4.jpg.jpg,noisy1,anchor,True
khanhha,noncrack_noncrack_concrete_wall_81_4.jpg.jpg,noisy2,anchor,True
khanhha,Rissbilder_for_Florian_9S6A2911_1125_1393_2108_2755.jpg,original,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A2911_1125_1393_2108_2755.jpg,noisy1,hash_sample,False
khanhha,Rissbilder_for_Florian_9S6A2911_1125_1393_2108_2755.jpg,noisy2,hash_sample,False
khanhha,CRACK500_20160402_150938_641_361.jpg,original,hash_sample,False
khanhha,CRACK500_20160402_150938_641_361.jpg,noisy1,hash_sample,False
khanhha,CRACK500_20160402_150938_641_361.jpg,noisy2,hash_sample,False
khanhha,CRACK500_20160328_154321_1281_1.jpg,original,hash_sample,False
